"","Name","OncoTree1","OncoTree2","Age","PrimaryOrMetastasis","SampleCollectionSite","Sex","Top_Sensitive_Drugs","Bottom_Resistant_Drugs","nb_drugs"
"515","LNZ308","Brain_CNS","Diffuse Glioma (DIFG)",60,"Primary","central nervous system","Male",NA,NA,NA
"516","LOU-NH91","Lung","Non-Small Cell Lung Cancer (NSCLC)",64,"Primary","lung","Female","SB-743921 ; leptomycin B ; ouabain ; navitoclax (CTR) ; obatoclax (CTR) ; paclitaxel (FDA) ; panobinostat (FDA) ; dasatinib (FDA) ; triazolothiadiazine ; GSK461364","isonicotinohydroxamic acid ; azacitidine (FDA) ; BRD-K09344309 ; abiraterone (FDA) ; myricetin ; parthenolide ; brivanib ; BRD-K88742110 ; BRD9876 ; CID-5951923","407"
"517","Loucy","Blood","Leukemia (LEUK)",38,"Primary","haematopoietic and lymphoid tissue","Female",NA,NA,NA
"518","LoVo","Bowel","Colorectal Adenocarcinoma (COADREAD)",56,"Metastatic","lymph node","Male","leptomycin B ; SB-743921 ; panobinostat (FDA) ; AZD7762 (CTR) ; rigosertib ; ouabain ; SR-II-138A ; AZD8055 (CTR) ; dasatinib (FDA) ; GSK461364","BRD9876 ; vemurafenib (FDA) ; CID-5951923 ; VAF-347 ; ML334 diastereomer ; EX-527 ; brivanib ; BRD8958 ; isonicotinohydroxamic acid ; parthenolide","396"
"519","LOX IMVI","Skin","Melanoma (MEL)",58,"Metastatic","lymph node","Male","leptomycin B ; CR-1-31B ; methotrexate (FDA) ; 1S-3R-RSL-3 ; ouabain ; panobinostat (FDA) ; SR-II-138A ; omacetaxine mepesuccinate (FDA) ; dasatinib (FDA) ; BI-2536 (CTR)","betulinic acid ; BRD8958 ; palmostatin B ; darinaparsin ; GW-843682X ; SR1001 ; BRD-K29313308 ; MK-0752 ; JW-55 ; Mdivi-1","436"
"520","LP-1","Blood","Multiple Myeloma (MM)",56,"Primary","haematopoietic and lymphoid tissue","Female","panobinostat (FDA) ; ouabain ; dinaciclib ; SB-743921 ; leptomycin B ; paclitaxel (FDA) ; docetaxel (FDA) ; CR-1-31B ; AZD8055 (CTR) ; vincristine (FDA)","GDC-0879 ; erlotinib (FDA) ; birinapant ; AC55649 ; AM-580 ; BRD-K09587429 ; BRD8958 ; procarbazine (FDA) ; PLX-4720 ; ML334 diastereomer","410"
"521","LS 180","Bowel","Colorectal Adenocarcinoma (COADREAD)",58,"Primary","Colon","Female","leptomycin B ; ouabain ; panobinostat (FDA) ; SB-743921 ; CR-1-31B ; austocystin D ; BI-2536 (CTR) ; gemcitabine (FDA) ; SR-II-138A ; narciclasine","BRD-K48334597 ; ML203 ; BRD-K27986637 ; BMS-270394 ; tigecycline ; purmorphamine ; azacitidine (FDA) ; betulinic acid ; ML050 ; GSK4112","404"
"522","LS1034","Bowel","Colorectal Adenocarcinoma (COADREAD)",54,"Primary","large intestine","Male","leptomycin B ; trametinib (FDA) ; brefeldin A ; GSK461364 ; ouabain ; panobinostat (FDA) ; dinaciclib ; methotrexate (FDA) ; CR-1-31B ; austocystin D","BRD8958 ; palmostatin B ; ML320 ; PRL-3 inhibitor I ; BRD-K02492147 ; A-804598 ; BRD-K85133207 ; pitstop2 ; BRD-A05715709 ; BRD-K48477130","414"
"523","LS123","Bowel","Colorectal Adenocarcinoma (COADREAD)",65,"Primary","Colon","Female","leptomycin B ; 1S-3R-RSL-3 ; oligomycin A ; ML210 ; panobinostat (FDA) ; ML162 ; BRD-K97651142 ; KPT185 ; ouabain ; CR-1-31B","HLI 373 ; dacarbazine (FDA) ; TG-100-115 ; BRD9876 ; RG-108 ; BRD-K16147474 ; purmorphamine ; nelarabine (FDA) ; ML083 ; EX-527","399"
"524","LS411N","Bowel","Colorectal Adenocarcinoma (COADREAD)",32,"Primary","large intestine","Male","panobinostat (FDA) ; leptomycin B ; daporinad ; methotrexate (FDA) ; CR-1-31B ; selumetinib (FDA) ; obatoclax (CTR) ; bardoxolone methyl ; BI-2536 (CTR) ; SR-II-138A","EX-527 ; bendamustine (FDA) ; BRD-K51490254 ; alisertib ; tretinoin (FDA) ; ML312 ; parthenolide ; XL765 ; dexamethasone ; BRD-K11533227","404"
"525","LS513","Bowel","Colorectal Adenocarcinoma (COADREAD)",63,"Primary","large intestine","Male","austocystin D ; leptomycin B ; SB-743921 ; panobinostat (FDA) ; selumetinib (FDA) ; tanespimycin (CTR) ; brefeldin A ; CR-1-31B ; GSK461364 ; cucurbitacin I","tretinoin (FDA) ; BRD-K61166597 ; Compound 1541A ; BRD-K51490254 ; BMS-270394 ; ML312 ; PLX-4720 ; procarbazine (FDA) ; BRD-K27986637 ; EX-527","404"
"526","LU65","Lung","Non-Small Cell Lung Cancer (NSCLC)",64,"Primary","lung","Male","ouabain ; SB-743921 ; leptomycin B ; vincristine (FDA) ; methotrexate (FDA) ; trametinib (FDA) ; CR-1-31B ; dinaciclib ; PF-3758309 ; bardoxolone methyl","IC-87114 ; TG-101348 (CTR) ; elocalcitol ; PF-4800567 hydrochloride ; AZ-3146 ; BRD-K42260513 ; myricetin ; pandacostat ; birinapant ; linsitinib (CTR)","412"
"527","LU99","Lung","Non-Small Cell Lung Cancer (NSCLC)",63,"Metastatic","pleura","Male","leptomycin B ; ouabain ; vincristine (FDA) ; neopeltolide ; doxorubicin (FDA) ; methotrexate (FDA) ; CR-1-31B ; panobinostat (FDA) ; topotecan (FDA) ; clofarabine (FDA)","SB-431542 ; BRD-K96431673 ; BRD-K75293299 ; PRIMA-1-Met ; CID-5951923 ; SB-525334 ; L-685458 ; BRD-K51490254 ; BRD-K02492147 ; BRD8958","404"
"528","LUDLU-1","Lung","Non-Small Cell Lung Cancer (NSCLC)",72,"Primary","lung","Male","leptomycin B ; SB-743921 ; dinaciclib ; BI-2536 (CTR) ; CR-1-31B ; panobinostat (FDA) ; docetaxel (FDA) ; paclitaxel (FDA) ; GSK461364 ; SR-II-138A","daporinad ; ML320 ; NSC 74859 ; barasertib ; GDC-0879 ; SRT-1720 ; AZD7545 ; pifithrin-mu ; BRD-K88742110 ; palmostatin B","411"
"529","LXF-289","Lung","Non-Small Cell Lung Cancer (NSCLC)",62,"Primary","lung","Male","leptomycin B ; dasatinib (FDA) ; SB-743921 ; panobinostat (FDA) ; ouabain ; BI-2536 (CTR) ; MLN2238 ; pluripotin ; AZD8055 (CTR) ; CR-1-31B","hyperforin ; BRD9876 ; BRD-K09344309 ; vemurafenib (FDA) ; myricetin ; ML334 diastereomer ; BRD8958 ; temozolomide ; BRD5468 ; DBeQ","403"
"530","M-07e","Blood","Leukemia (LEUK)",0,"","haematopoietic and lymphoid tissue","Female","SB-743921 ; panobinostat (FDA) ; leptomycin B ; BI-2536 (CTR) ; GSK461364 ; docetaxel (FDA) ; ouabain ; dinaciclib ; omacetaxine mepesuccinate (FDA) ; daporinad","procarbazine (FDA) ; MK-0752 ; semagacestat ; BRD5468 ; regorafenib ; SR1001 ; ML334 diastereomer ; SZ4TA2 ; fumonisin B1 ; BRD-A05715709","408"
"531","M059K","Brain_CNS","Diffuse Glioma (DIFG)",33,"Primary","central nervous system","Male","ouabain ; dinaciclib ; panobinostat (FDA) ; leptomycin B ; omacetaxine mepesuccinate (FDA) ; 1S-3R-RSL-3 ; SR-II-138A ; BI-2536 (CTR) ; narciclasine ; alvocidib (CTR)","SU11274 ; BRD8958 ; erlotinib (FDA) ; AZ-3146 ; betulinic acid ; BRD1835 ; ML334 diastereomer ; NPC-26 ; BRD4132 ; BRD-K50799972","408"
"532","Malme-3M","Skin","Melanoma (MEL)",43,"Metastatic","lung","Male","trametinib (FDA) ; dinaciclib ; selumetinib (FDA) ; leptomycin B ; PD318088 ; panobinostat (FDA) ; obatoclax (CTR) ; dabrafenib (FDA) ; doxorubicin (FDA) ; cucurbitacin I","semagacestat ; zebularine ; TW-37 ; STF-31 ; ML050 ; cytochalasin B ; imatinib (FDA) ; BRD-K14844214 ; tretinoin (FDA) ; BRD-K01737880","184"
"533","MC116","Lymph","Non-Hodgkin's Lymphoma (NHL)",NA,"","pleural effusion","Male","leptomycin B ; SB-743921 ; vincristine (FDA) ; clofarabine (FDA) ; cytarabine hydrochloride ; CR-1-31B ; doxorubicin (FDA) ; BI-2536 (CTR) ; SNX-2112 ; teniposide (FDA)","GSK461364 ; BRD9876 ; Ch-55 ; dexamethasone ; B02 ; LE-135 ; darinaparsin ; BRD8899 ; VU0155056 ; WAY-362450","395"
"534","MCAS","Ovary","Ovarian Epithelial Tumor (OVT)",60,"Primary","ovary","Female","oligomycin A ; paclitaxel (FDA) ; leptomycin B ; SB-743921 ; GSK461364 ; CR-1-31B ; BI-2536 (CTR) ; 1S-3R-RSL-3 ; SR-II-138A ; narciclasine","NSC30930 ; ifosfamide (FDA) ; cyclophosphamide (FDA) ; SKI-II ; bexarotene ; IC-87114 ; darinaparsin ; dexamethasone ; palmostatin B ; SJ-172550","400"
"535","MCF7","Breast","Breast Carcinoma (BRCA)",69,"Metastatic","pleural effusion","Female","panobinostat (FDA) ; leptomycin B ; ouabain ; AZD8055 (CTR) ; temsirolimus (FDA) ; SB-743921 ; brefeldin A ; CR-1-31B ; BMS-754807 ; rigosertib","BRD-K64610608 ; BRD8899 ; BRD-K44224150 ; BRD-K34485477 ; EX-527 ; BRD-K37390332 ; BRD-K51490254 ; vorapaxar ; PLX-4720 ; BMS-195614","395"
"536","MDA PCa 2b","Prostate",NA,63,"Metastatic","bone","Male",NA,NA,NA
"537","MDA-MB-134-VI","Breast","Breast Carcinoma (BRCA)",47,"Metastatic","pleural effusion","Female",NA,NA,NA
"538","MDA-MB-157","Breast","Breast Carcinoma (BRCA)",44,"Metastatic","pleural effusion","Female","leptomycin B ; dinaciclib ; SB-743921 ; ouabain ; docetaxel (FDA) ; vincristine (FDA) ; topotecan (FDA) ; methotrexate (FDA) ; alvocidib (CTR) ; parbendazole","dacarbazine (FDA) ; SB-431542 ; KU-55933 ; JW-74 ; BRD-K42260513 ; VU0155056 ; pandacostat ; UNC0638 ; vorapaxar ; saracatinib (CTR)","337"
"539","MDA-MB-175-VII","Breast","Breast Carcinoma (BRCA)",56,"Metastatic","pleural effusion","Female",NA,NA,NA
"540","MDA-MB-231","Breast","Breast Carcinoma (BRCA)",51,"Metastatic","pleural effusion","Female","leptomycin B ; birinapant ; 1S-3R-RSL-3 ; panobinostat (FDA) ; dasatinib (FDA) ; SB-743921 ; CR-1-31B ; narciclasine ; ML210 ; BI-2536 (CTR)","BRD9876 ; EX-527 ; zebularine ; BRD-K09344309 ; isonicotinohydroxamic acid ; BRD-K51490254 ; parthenolide ; ML334 diastereomer ; CHM-1 ; neuronal differentiation inducer III","393"
"541","MDA-MB-361","Breast","Breast Carcinoma (BRCA)",40,"Metastatic","central nervous system","Female","tanespimycin (CTR) ; panobinostat (FDA) ; 1S-3R-RSL-3 ; oligomycin A ; austocystin D ; ouabain ; GDC-0941 ; NVP-BEZ235 ; SNX-2112 ; AZD8055 (CTR)","ruxolitinib ; SRT-1720 ; TPCA-1 ; AZD7545 ; lenvatinib ; procarbazine (FDA) ; BIX-01294 ; daporinad ; bexarotene ; BRD-A02303741","410"
"542","MDA-MB-415","Breast","Breast Carcinoma (BRCA)",38,"Metastatic","pleural effusion","Female","dinaciclib ; tanespimycin (CTR) ; omacetaxine mepesuccinate (FDA) ; GDC-0941 ; ABT-737 ; bardoxolone methyl ; BRD-A86708339 ; alvocidib (CTR) ; AT13387 (CTR) ; SNX-2112","BRD-K17060750 ; BRD-K13999467 ; pevonedistat (CTR) ; barasertib ; sotrastaurin ; CHIR-99021 ; dacarbazine (FDA) ; bleomycin A2 ; GMX-1778 ; clofarabine (FDA)","191"
"543","MDA-MB-435S","Skin","Melanoma (MEL)",31,"Metastatic","skin","Unknown","leptomycin B ; SB-743921 ; 1S-3R-RSL-3 ; BI-2536 (CTR) ; GSK461364 ; CR-1-31B ; vincristine (FDA) ; paclitaxel (FDA) ; ML162 ; panobinostat (FDA)","nelarabine (FDA) ; EX-527 ; BRD-K64610608 ; hyperforin ; BRD-K09344309 ; ML334 diastereomer ; VAF-347 ; decitabine (FDA) ; BRD-K51490254 ; BRD-K88742110","404"
"544","MDA-MB-436","Breast","Breast Carcinoma (BRCA)",43,"Metastatic","pleural effusion","Female",NA,NA,NA
"545","MDA-MB-453","Breast","Breast Carcinoma (BRCA)",48,"Metastatic","pericardial effusion","Female","panobinostat (FDA) ; oligomycin A ; ouabain ; SB-743921 ; tanespimycin (CTR) ; SNX-2112 ; dinaciclib ; BI-2536 (CTR) ; bardoxolone methyl ; vincristine (FDA)","BRD-K51490254 ; BRD-K88742110 ; HC-067047 ; IU1 ; SJ-172550 ; SGX-523 ; BRD8899 ; indisulam ; BRD-K37390332 ; BRD-K17060750","402"
"546","MDA-MB-468","Breast","Breast Carcinoma (BRCA)",51,"Metastatic","pleural effusion","Female","SB-743921 ; leptomycin B ; BI-2536 (CTR) ; GSK461364 ; dinaciclib ; docetaxel (FDA) ; SNS-032 ; paclitaxel (FDA) ; ouabain ; CR-1-31B","CHIR-99021 ; ML320 ; Repligen 136 ; ML334 diastereomer ; BMS-195614 ; XL765 ; BRD-K28456706 ; GDC-0879 ; BRD-K09587429 ; BRD-K17060750","410"
"547","MDST8","Bowel","Colorectal Adenocarcinoma (COADREAD)",NA,"Primary","large intestine","Unknown","leptomycin B ; ouabain ; 1S-3R-RSL-3 ; panobinostat (FDA) ; AZD8055 (CTR) ; SNS-032 ; SB-743921 ; doxorubicin (FDA) ; SNX-2112 ; omacetaxine mepesuccinate (FDA)","hyperforin ; azacitidine (FDA) ; Ki8751 ; SU11274 ; BRD4132 ; BRD-K64610608 ; necrostatin-7 ; BIRB-796 ; BRD9876 ; gefitinib (FDA)","402"
"548","ME-1","Blood","Leukemia (LEUK)",40,"Primary","haematopoietic and lymphoid tissue","Male","leptomycin B ; 1S-3R-RSL-3 ; panobinostat (FDA) ; GSK461364 ; clofarabine (FDA) ; BI-2536 (CTR) ; rigosertib ; KPT185 ; narciclasine ; BRD-K26531177","EX-527 ; BRD9876 ; parthenolide ; vemurafenib (FDA) ; hyperforin ; PLX-4720 ; BRD-K09344309 ; abiraterone (FDA) ; MI-1 ; daporinad","384"
"549","MEC-1","Blood","Leukemia (LEUK)",61,"","haematopoietic and lymphoid tissue","Male","CR-1-31B ; docetaxel (FDA) ; omacetaxine mepesuccinate (FDA) ; SB-743921 ; leptomycin B ; paclitaxel (FDA) ; ouabain ; panobinostat (FDA) ; BI-2536 (CTR) ; dinaciclib","BRD-K17060750 ; BRD-K09587429 ; BRD8958 ; BRD-K16147474 ; AGK-2 ; birinapant ; BRD-K37390332 ; ML258 ; nelarabine (FDA) ; NSC 74859","413"
"550","MEC-2","Blood","Leukemia (LEUK)",61,"","haematopoietic and lymphoid tissue","Male",NA,NA,NA
"551","MEG-01","Blood","Leukemia (LEUK)",55,"","bone marrow","Male",NA,NA,NA
"552","MEL-HO","Skin","Melanoma (MEL)",NA,"Primary","skin","Female","leptomycin B ; panobinostat (FDA) ; selumetinib (FDA) ; CR-1-31B ; narciclasine ; AZD8055 (CTR) ; SR-II-138A ; ouabain ; doxorubicin (FDA) ; vincristine (FDA)","parthenolide ; BRD-K34099515 ; ML203 ; QS-11 ; BRD-K44224150 ; ML258 ; zebularine ; ifosfamide (FDA) ; LE-135 ; CID-5951923","405"
"553","MEL-JUSO","Skin","Melanoma (MEL)",58,"Primary","skin","Female","leptomycin B ; BI-2536 (CTR) ; GSK461364 ; CR-1-31B ; ouabain ; panobinostat (FDA) ; narciclasine ; SB-743921 ; omacetaxine mepesuccinate (FDA) ; daporinad","ciclosporin ; dexamethasone ; PLX-4720 ; vemurafenib (FDA) ; palmostatin B ; GSK525762A ; KH-CB19 ; elocalcitol ; indisulam ; pifithrin-mu","401"
"554","MES-SA","Soft_Tissue","sarcoma",56,"Primary","endometrium","Female","dinaciclib ; leptomycin B ; BI-2536 (CTR) ; omacetaxine mepesuccinate (FDA) ; tanespimycin (CTR) ; alvocidib (CTR) ; daporinad ; ouabain ; RITA ; vincristine (FDA)","SCH-529074 ; BRD-K02251932 ; BRD-K52037352 ; sirolimus (FDA) ; bleomycin A2 ; Compound 23 citrate ; ABT-737 ; ML334 diastereomer ; BRD-K45681478 ; necrostatin-7","384"
"555","MeWo","Skin","Melanoma (MEL)",78,"Metastatic","lymph node","Male","leptomycin B ; dinaciclib ; panobinostat (FDA) ; ouabain ; methotrexate (FDA) ; BI-2536 (CTR) ; SB-743921 ; vincristine (FDA) ; alvocidib (CTR) ; narciclasine","semagacestat ; BRD-K16147474 ; BRD-K09587429 ; BRD-K17060750 ; veliparib (CTR) ; PLX-4720 ; L-685458 ; BRD-K90370028 ; ML334 diastereomer ; thalidomide","416"
"556","MFE-280","Uterus","Endometrial Carcinoma (UCEC)",77,"Primary","endometrium","Female",NA,NA,NA
"557","MFE-296","Uterus","Endometrial Carcinoma (UCEC)",68,"Primary","endometrium","Female","paclitaxel (FDA) ; SB-743921 ; ouabain ; omacetaxine mepesuccinate (FDA) ; leptomycin B ; dinaciclib ; BI-2536 (CTR) ; methotrexate (FDA) ; GSK461364 ; vincristine (FDA)","daporinad ; NSC 74859 ; KH-CB19 ; BRD-A02303741 ; bexarotene ; ML320 ; linsitinib (CTR) ; SR1001 ; BRD5468 ; MK-0752","420"
"558","MFE-319","Uterus","Endometrial Carcinoma (UCEC)",81,"Primary","endometrium","Female","oligomycin A ; paclitaxel (FDA) ; panobinostat (FDA) ; BI-2536 (CTR) ; dinaciclib ; BRD-K97651142 ; SB-743921 ; docetaxel (FDA) ; omacetaxine mepesuccinate (FDA) ; ouabain","ML334 diastereomer ; BRD-K50799972 ; veliparib (CTR) ; CAL-101 (FDA) ; BRD-K04800985 ; BRD-K52037352 ; BRD-K16147474 ; barasertib ; 16-beta-bromoandrosterone ; MK-0752","417"
"559","MG-63","Bone","Osteosarcoma (OS)",14,"Primary","bone","Male","oligomycin A ; ouabain ; 1S-3R-RSL-3 ; BI-2536 (CTR) ; SB-743921 ; daporinad ; ML162 ; MLN2238 ; STF-31 ; omacetaxine mepesuccinate (FDA)","BRD8958 ; procarbazine (FDA) ; NPC-26 ; BRD-A02303741 ; brivanib ; palmostatin B ; isonicotinohydroxamic acid ; pitstop2 ; nilotinib (FDA) ; sildenafil","420"
"560","MHH-CALL-2","Blood","Leukemia (LEUK)",15,"Primary","haematopoietic and lymphoid tissue","Female",NA,NA,NA
"561","MHH-CALL-3","Blood","Leukemia (LEUK)",11,"Primary","bone marrow","Female","doxorubicin (FDA) ; cytarabine hydrochloride ; 1S-3R-RSL-3 ; leptomycin B ; paclitaxel (FDA) ; mitomycin (FDA) ; CR-1-31B ; panobinostat (FDA) ; teniposide (FDA) ; ML210","GDC-0879 ; CI-976 ; SB-431542 ; C6-ceramide ; regorafenib ; betulinic acid ; nilotinib (FDA) ; niclosamide ; quizartinib (CTR) ; abiraterone (FDA)","406"
"562","MHH-CALL-4","Blood","Leukemia (LEUK)",10,"Primary","haematopoietic and lymphoid tissue","Male","oligomycin A ; panobinostat (FDA) ; leptomycin B ; vincristine (FDA) ; dexamethasone ; doxorubicin (FDA) ; paclitaxel (FDA) ; clofarabine (FDA) ; CR-1-31B ; SB-743921","AGK-2 ; palmostatin B ; itraconazole (CTR) ; lapatinib (FDA) ; pifithrin-alpha ; DNMDP ; pitstop2 ; KH-CB19 ; JW-55 ; vorapaxar","398"
"563","MHH-ES-1","Bone","Ewing Sarcoma (ES)",12,"Metastatic","ascites","Male","SB-743921 ; leptomycin B ; panobinostat (FDA) ; daporinad ; rigosertib ; gemcitabine (FDA) ; BI-2536 (CTR) ; RITA ; CR-1-31B ; ouabain","BRD-K64610608 ; parthenolide ; GSK-3 inhibitor IX ; EX-527 ; CHIR-99021 ; ML320 ; ML203 ; nelarabine (FDA) ; CID-5951923 ; necrostatin-7","400"
"564","MHH-NB-11","Brain_CNS","Embryonal Tumor (EMBT)",4,"Metastatic","autonomic ganglia","Male","leptomycin B ; vincristine (FDA) ; paclitaxel (FDA) ; doxorubicin (FDA) ; SB-743921 ; ouabain ; GSK461364 ; topotecan (FDA) ; BI-2536 (CTR) ; panobinostat (FDA)","BRD-K04800985 ; MI-1 ; VU0155056 ; BRD-K48334597 ; L-685458 ; BRD-K49290616 ; BRD-K86535717 ; GDC-0879 ; BRD-K27986637 ; fumonisin B1","277"
"565","MIA PaCa-2","Pancreas","Pancreatic Adenocarcinoma (PAAD)",65,"Primary","pancreas","Male","ouabain ; omacetaxine mepesuccinate (FDA) ; panobinostat (FDA) ; CR-1-31B ; dinaciclib ; BI-2536 (CTR) ; SB-743921 ; PF-3758309 ; methotrexate (FDA) ; vincristine (FDA)","ML258 ; PLX-4720 ; BRD-K09587429 ; GSK2636771 ; BRD-K52037352 ; MK-0752 ; Compound 1541A ; BRD-A02303741 ; BRD-K48477130 ; ML320","414"
"566","Mino","Lymph","Non-Hodgkin's Lymphoma (NHL)",68,"","haematopoietic and lymphoid tissue","Male","SB-743921 ; docetaxel (FDA) ; vincristine (FDA) ; dinaciclib ; ouabain ; panobinostat (FDA) ; leptomycin B ; CR-1-31B ; BI-2536 (CTR) ; KX2-391","procarbazine (FDA) ; BRD-K51831558 ; VAF-347 ; betulinic acid ; ML334 diastereomer ; palmostatin B ; SJ-172550 ; BRD8958 ; CBB-1007 ; SZ4TA2","342"
"567","MJ","Lymph","Non-Hodgkin's Lymphoma (NHL)",50,"","haematopoietic and lymphoid tissue","Male","SB-743921 ; leptomycin B ; docetaxel (FDA) ; paclitaxel (FDA) ; vincristine (FDA) ; omacetaxine mepesuccinate (FDA) ; AT13387 (CTR) ; GSK461364 ; KX2-391 ; parbendazole","tretinoin (FDA) ; fumonisin B1 ; myricetin ; fluvastatin ; PD318088 ; BRD-K52037352 ; avrainvillamide ; IU1 ; BRD-K02492147 ; SB-525334","137"
"568","MKN-45","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)",62,"Metastatic","liver","Female","neopeltolide ; daporinad ; bardoxolone methyl ; CAY10618 ; BRD-K97651142 ; foretinib (CTR) ; crizotinib (FDA) ; BRD-K63431240 ; AZD7762 (CTR) ; SGX-523","FQI-1 ; cytochalasin B ; FQI-2 ; AM-580 ; BIRB-796 ; L-685458 ; BRD-K88742110 ; BRD-K92856060 ; UNC0638 ; SKI-II","406"
"569","MKN1","Esophagus_Stomach",NA,72,"Metastatic","lymph node","Male","panobinostat (FDA) ; YM-155 (CTR) ; 1S-3R-RSL-3 ; BI-2536 (CTR) ; ML162 ; ML210 ; leptomycin B ; BRD-K97651142 ; methotrexate (FDA) ; CAY10618","dexamethasone ; BRD8899 ; ifosfamide (FDA) ; BRD-K34485477 ; pifithrin-mu ; dacarbazine (FDA) ; PLX-4720 ; cimetidine ; BRD-K30019337 ; BRD-K14844214","390"
"570","MKN7","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)",39,"Metastatic","lymph node","Male","leptomycin B ; ouabain ; dinaciclib ; panobinostat (FDA) ; CR-1-31B ; 1S-3R-RSL-3 ; YM-155 (CTR) ; cucurbitacin I ; AZD7762 (CTR) ; obatoclax (CTR)","daporinad ; procarbazine (FDA) ; palmostatin B ; isonicotinohydroxamic acid ; elocalcitol ; BRD-K11533227 ; pitstop2 ; BRD-A02303741 ; GDC-0879 ; AZ-3146","416"
"571","MKN74","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)",37,"Metastatic","liver","Male","ouabain ; oligomycin A ; dinaciclib ; leptomycin B ; CR-1-31B ; panobinostat (FDA) ; bardoxolone methyl ; SB-743921 ; obatoclax (CTR) ; omacetaxine mepesuccinate (FDA)","Compound 1541A ; procarbazine (FDA) ; barasertib ; ML320 ; SRT-1720 ; AZ-3146 ; darinaparsin ; AZD7545 ; BRD-K55116708 ; NPC-26","440"
"572","ML-1","Thyroid","Follicular Thyroid Cancer (THFO)",50,"Primary","thyroid","Female","panobinostat (FDA) ; doxorubicin (FDA) ; AZD7762 (CTR) ; dasatinib (FDA) ; leptomycin B ; BRD-K34222889 ; CR-1-31B ; SB-743921 ; BI-2536 (CTR) ; topotecan (FDA)","daporinad ; ML334 diastereomer ; EX-527 ; BRD-K51490254 ; CAY10618 ; dexamethasone ; BRD8958 ; BRD-K52037352 ; NSC 74859 ; BMS-195614","391"
"573","MM1-S","Blood","Multiple Myeloma (MM)",45,"Primary","haematopoietic and lymphoid tissue","Female","leptomycin B ; SB-743921 ; panobinostat (FDA) ; CR-1-31B ; doxorubicin (FDA) ; vincristine (FDA) ; AZD8055 (CTR) ; SR-II-138A ; teniposide (FDA) ; clofarabine (FDA)","BRD-K64610608 ; GDC-0879 ; nelarabine (FDA) ; PLX-4720 ; sorafenib ; parthenolide ; silmitasertib ; ML334 diastereomer ; BRD-K09344309 ; BRD-M00053801","388"
"574","MOG-G-CCM","Brain_CNS","Diffuse Glioma (DIFG)",NA,"Primary","central nervous system","Unknown",NA,NA,NA
"575","MOG-G-UVW","Brain_CNS","Diffuse Glioma (DIFG)",NA,"Primary","central nervous system","Male",NA,NA,NA
"576","MOLM-13","Blood","Leukemia (LEUK)",20,"Primary","haematopoietic and lymphoid tissue","Male","foretinib (CTR) ; leptomycin B ; AZD7762 (CTR) ; SB-743921 ; paclitaxel (FDA) ; quizartinib (CTR) ; panobinostat (FDA) ; vincristine (FDA) ; cabozantinib (FDA) ; sunitinib (FDA)","CID-5951923 ; ML083 ; temozolomide ; BRD8899 ; ML258 ; BRD-K04800985 ; BRD-K16147474 ; BRD-K02492147 ; BRD-K51490254 ; BRD-K49290616","363"
"577","MOLM-16","Blood","Leukemia (LEUK)",77,"Primary","haematopoietic and lymphoid tissue","Female","oligomycin A ; vincristine (FDA) ; leptomycin B ; SB-743921 ; GSK461364 ; foretinib (CTR) ; CR-1-31B ; panobinostat (FDA) ; narciclasine ; KPT185","GDC-0879 ; isonicotinohydroxamic acid ; CI-976 ; VU0155056 ; ML334 diastereomer ; IPR-456 ; BRD-K09344309 ; BRD8958 ; GSK4112 ; myricetin","378"
"578","MOLM-6","Blood","Leukemia (LEUK)",44,"Primary","haematopoietic and lymphoid tissue","Male","dasatinib (FDA) ; nilotinib (FDA) ; pluripotin ; vincristine (FDA) ; panobinostat (FDA) ; GSK461364 ; SB-743921 ; narciclasine ; omacetaxine mepesuccinate (FDA) ; leptomycin B","EX-527 ; BRD-K64610608 ; hyperforin ; parthenolide ; isonicotinohydroxamic acid ; TW-37 ; ML334 diastereomer ; brivanib ; BMS-195614 ; MI-1","392"
"579","MOLP-2","Blood","Multiple Myeloma (MM)",55,"Primary","haematopoietic and lymphoid tissue","Male","leptomycin B ; ouabain ; vincristine (FDA) ; CR-1-31B ; panobinostat (FDA) ; doxorubicin (FDA) ; SB-743921 ; KX2-391 ; SR-II-138A ; brefeldin A","OSI-930 ; GDC-0879 ; BRD-K64610608 ; CI-976 ; EX-527 ; CAY10576 ; tacrolimus ; SRT-1720 ; ML334 diastereomer ; saracatinib (CTR)","404"
"580","MOLP-8","Blood","Multiple Myeloma (MM)",52,"Primary","haematopoietic and lymphoid tissue","Male","leptomycin B ; panobinostat (FDA) ; dinaciclib ; CR-1-31B ; vincristine (FDA) ; sirolimus (FDA) ; docetaxel (FDA) ; PF-3758309 ; SB-743921 ; paclitaxel (FDA)","elocalcitol ; IC-87114 ; ML334 diastereomer ; SR1001 ; BRD-K33199242 ; BRD-K04800985 ; SJ-172550 ; brivanib ; PLX-4720 ; BMS-270394","390"
